"","sample_id","Station","Latitude","Longitude","Depth m","CTD cast (to be checked)","depth_numeric","Cast","Cycle","Pressure [db]","Temp1 [°C]","Salinity1[PSS-78]","Oxygen1 [mmol/kg]","Fluorescence1 [milligrams/m^3]","Fluor average [mg m^-3]","easy_long","updated_cycle","bloom_state","water_mode","number_long","total_contigs","total_basepairs","max_contig","med_contig","avg_contig","bottom_percentile","top_percentil","n_virus","n_circular","sample","average_gc","per_read_gc","gc_var","mean_read_length","total_reads","total_bp","direction"
"79","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.2739375,13.3089041666667,34.9900951193358,252.256777777778,2.89572708333333,2.22969791666667,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R1_001",41.3873590538652,41.1392625138009,0.00774931828555839,84.4218575312432,137604598,11616835768,"F"
"80","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.2739375,13.3089041666667,34.9900951193358,252.256777777778,2.89572708333333,2.22969791666667,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R2_001",41.1927209053047,40.9748154146562,0.00799953286525792,84.5807358486669,137604598,11638698155,"R"
"81","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.4919183673469,13.3093489795918,34.9900743857504,253.171076923077,2.70783265306122,2.1495,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R1_001",41.3873590538652,41.1392625138009,0.00774931828555839,84.4218575312432,137604598,11616835768,"F"
"82","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.4919183673469,13.3093489795918,34.9900743857504,253.171076923077,2.70783265306122,2.1495,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R2_001",41.1927209053047,40.9748154146562,0.00799953286525792,84.5807358486669,137604598,11638698155,"R"
"83","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.2131020408163,13.3087081632653,34.9900606166871,253.083,2.56740204081633,2.05393775510204,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R1_001",41.3873590538652,41.1392625138009,0.00774931828555839,84.4218575312432,137604598,11616835768,"F"
"84","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.2131020408163,13.3087081632653,34.9900606166871,253.083,2.56740204081633,2.05393775510204,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R2_001",41.1927209053047,40.9748154146562,0.00799953286525792,84.5807358486669,137604598,11638698155,"R"
"85","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.5272448979592,13.3077836734694,34.9900083164647,252.86,2.58815714285714,2.00645816326531,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R1_001",41.3873590538652,41.1392625138009,0.00774931828555839,84.4218575312432,137604598,11616835768,"F"
"86","NZ_12",227,-42.775,178.345333333333,"25",9145,25,1,"3",25.5272448979592,13.3077836734694,34.9900083164647,252.86,2.58815714285714,2.00645816326531,178.345333333333,"3","No salp","Subtropical Pacific",1070,291561,218375429,132394,467,748.987103899356,366,690,5526,13,"NZ12_S203_L003_R2_001",41.1927209053047,40.9748154146562,0.00799953286525792,84.5807358486669,137604598,11638698155,"R"
"87","NZ_13",227,-42.775,178.345333333333,"40",9145,40,1,"3",40.5867708333333,13.2563791666667,34.9845792495822,252.810772727273,2.42426458333333,1.97592291666667,178.345333333333,"3","No salp","Subtropical Pacific",472,139946,97265336,263466,443,695.020479327741,356,628,2103,3,"NZ13_S204_L003_R1_001",41.6979881748483,41.6028864592652,0.0092196336516758,89.0025440812577,48129752,4283670374,"F"
"88","NZ_13",227,-42.775,178.345333333333,"40",9145,40,1,"3",40.5867708333333,13.2563791666667,34.9845792495822,252.810772727273,2.42426458333333,1.97592291666667,178.345333333333,"3","No salp","Subtropical Pacific",472,139946,97265336,263466,443,695.020479327741,356,628,2103,3,"NZ13_S204_L003_R2_001",41.35122352361,41.2914662934865,0.00959569281541382,89.1983366338559,48129752,4293093821,"R"
